date,World
1/01/2020,27
2/01/2020,27
3/01/2020,44
4/01/2020,44
5/01/2020,59
6/01/2020,59
7/01/2020,59
8/01/2020,59
9/01/2020,59
10/01/2020,59
11/01/2020,59
12/01/2020,59
13/01/2020,60
14/01/2020,60
15/01/2020,61
16/01/2020,61
17/01/2020,66
18/01/2020,83
19/01/2020,219
20/01/2020,239
21/01/2020,392
22/01/2020,534
23/01/2020,631
24/01/2020,897
25/01/2020,1350
26/01/2020,2023
27/01/2020,2820
28/01/2020,4587
29/01/2020,6067
30/01/2020,7823
31/01/2020,9826
1/02/2020,11946
2/02/2020,14554
3/02/2020,17372
4/02/2020,20615
5/02/2020,24522
6/02/2020,28273
7/02/2020,31491
8/02/2020,34933
9/02/2020,37552
10/02/2020,40540
11/02/2020,43105
12/02/2020,45177
13/02/2020,60328
14/02/2020,64543
15/02/2020,67103
16/02/2020,69265
17/02/2020,71332
18/02/2020,73327
19/02/2020,75191
20/02/2020,75723
21/02/2020,76719
22/02/2020,77804
23/02/2020,78812
24/02/2020,79339
25/02/2020,80132
26/02/2020,80997
27/02/2020,82106
28/02/2020,83375
29/02/2020,85223
1/03/2020,87042
2/03/2020,89121
3/03/2020,90943
4/03/2020,93193
5/03/2020,95464
6/03/2020,98442
7/03/2020,102524
8/03/2020,106488
9/03/2020,110633
10/03/2020,115331
11/03/2020,120250
12/03/2020,127785
13/03/2020,136806
14/03/2020,146675
15/03/2020,158808
16/03/2020,171165
17/03/2020,184905
18/03/2020,201363
19/03/2020,221172
20/03/2020,251542
21/03/2020,282895
22/03/2020,316942
23/03/2020,350942
24/03/2020,393837
25/03/2020,434723
26/03/2020,486947
27/03/2020,547297
28/03/2020,611632
29/03/2020,674897
30/03/2020,732707
31/03/2020,796268
1/04/2020,868867
2/04/2020,945624
3/04/2020,1022366
4/04/2020,1103314
5/04/2020,1188306
6/04/2020,1257241
7/04/2020,1329576
8/04/2020,1404566
9/04/2020,1489045
10/04/2020,1574850
11/04/2020,1664170
12/04/2020,1744940
13/04/2020,1816194
14/04/2020,1882211
15/04/2020,1958813
16/04/2020,2038561
17/04/2020,2121523
18/04/2020,2203417
19/04/2020,2283158
20/04/2020,2355301
21/04/2020,2431261
22/04/2020,2516991
23/04/2020,2583279
24/04/2020,2660713
25/04/2020,2734478
26/04/2020,2835026
27/04/2020,2918082
28/04/2020,2983864
29/04/2020,3055429
30/04/2020,3133235
1/05/2020,3217821
2/05/2020,3309563
3/05/2020,3390732
4/05/2020,3469241
5/05/2020,3546401
6/05/2020,3625588
7/05/2020,3715414
8/05/2020,3809599
9/05/2020,3899738
10/05/2020,3989894
11/05/2020,4066883
12/05/2020,4137915
13/05/2020,4223701
14/05/2020,4309652
15/05/2020,4406317
16/05/2020,4504351
17/05/2020,4598546
18/05/2020,4679764
19/05/2020,4766899
20/05/2020,4861974
21/05/2020,4961457
22/05/2020,5067579
